communication_diff,emotional_openness_diff,social_nature_diff,independence_diff,family_orientation_diff,financial_attitude_diff,career_orientation_diff,adventure_diff,conflict_handling_diff,lifestyle_preference_diff,comm_x_conflict_diff,finance_x_career_diff,family_x_lifestyle_diff,mean_abs_diff,max_abs_diff,euclidean_distance,compatibility_score
19.81,11.21,32.24,49.02,24.69,23.11,7.71,55.2,0.36,45.77,0.07,1.78,11.3,26.91,55.2,101.52,76.89
0.09,17.53,24.77,4.24,26.47,22.85,7.64,2.22,15.39,6.84,0.01,1.75,1.81,12.8,26.47,50.09,86.5
13.29,25.76,18.26,5.54,2.19,21.66,0.41,23.44,2.87,6.18,0.38,0.09,0.14,11.96,25.76,47.69,89.72
9.45,0.21,31.42,0.79,35.66,32.68,10.55,63.06,7.56,32.49,0.71,3.45,11.59,22.39,63.06,92.83,78.81
24.22,17.52,9.77,11.2,21.81,17.04,9.9,14.53,3.9,10.29,0.94,1.69,2.24,14.02,24.22,48.07,81.3
6.3,5.77,13.66,14.16,15.64,34.77,2.47,39.68,2.25,27.6,0.14,0.86,4.32,16.23,39.68,65.27,82.26
19.88,25.89,7.8,26.11,10.25,0.83,28.12,40.88,15.45,31.49,3.07,0.23,3.23,20.67,40.88,74.87,80.32
11.69,39.05,19.62,17.83,20.89,7.73,20.72,37.06,25.46,17.85,2.98,1.6,3.73,21.79,39.05,75.03,76.51
8.75,11.61,7.99,28.38,1.32,12.79,5.33,23.26,14.43,30.74,1.26,0.68,0.41,14.46,30.74,54.48,87.96
7.48,9.95,3.94,43.92,12.28,15.54,8.67,8.62,24.58,38.67,1.84,1.35,4.75,17.36,43.92,68.85,81.71
14.87,10.0,1.67,27.48,9.83,10.59,45.77,24.47,2.51,2.9,0.37,4.85,0.29,15.01,45.77,63.22,85.01
39.84,2.76,1.51,44.78,11.62,42.51,26.61,44.56,8.44,40.3,3.36,11.31,4.68,26.29,44.78,99.66,74.81
5.22,12.52,18.02,29.57,21.36,11.15,9.42,43.73,8.3,9.55,0.43,1.05,2.04,16.88,43.73,64.23,83.91
3.39,6.91,20.57,7.82,36.75,22.24,9.63,22.86,10.11,6.75,0.34,2.14,2.48,14.7,36.75,56.14,84.44
14.88,26.93,27.74,15.56,11.13,21.74,15.06,15.67,5.66,35.57,0.84,3.27,3.96,18.99,35.57,65.76,79.7
37.63,1.0,16.25,29.13,7.0,18.16,5.96,22.35,28.84,5.41,10.85,1.08,0.38,17.17,37.63,65.61,80.0
28.85,4.47,29.32,0.02,10.26,1.11,7.79,22.1,17.97,37.35,5.18,0.09,3.83,15.92,37.35,63.92,84.01
25.86,29.53,7.74,30.33,15.94,11.46,29.02,15.06,13.57,20.53,3.51,3.33,3.27,19.9,30.33,67.68,81.59
24.2,3.15,33.53,0.8,12.28,10.9,10.63,58.36,3.99,41.72,0.97,1.16,5.12,19.96,58.36,85.24,81.04
5.43,1.72,14.24,8.47,43.59,10.25,5.56,42.8,11.8,35.96,0.64,0.57,15.67,17.98,43.59,74.88,81.71
22.85,11.47,2.3,12.76,30.66,2.15,7.05,15.64,7.19,1.83,1.64,0.15,0.56,11.39,30.66,46.0,87.17
13.59,12.88,30.66,42.1,1.16,10.57,21.28,2.95,25.92,16.72,3.52,2.25,0.19,17.78,42.1,67.75,83.26
14.53,9.52,19.98,21.27,30.62,27.19,18.67,2.07,9.63,21.66,1.4,5.08,6.63,17.52,30.62,61.2,80.4
47.06,13.66,36.98,33.48,46.71,32.42,7.09,54.08,24.81,31.74,11.68,2.3,14.83,32.8,54.08,112.79,68.49
21.47,0.2,28.83,15.22,28.9,3.38,20.35,3.58,7.75,17.56,1.66,0.69,5.07,14.72,28.9,56.26,85.74
16.42,22.62,25.47,2.33,2.06,13.61,26.05,11.44,13.13,24.55,2.16,3.55,0.51,15.77,26.05,56.65,85.43
18.54,35.06,11.67,17.93,10.71,43.46,8.15,15.02,4.14,8.97,0.77,3.54,0.96,17.37,43.46,66.51,78.1
0.0,5.29,17.73,36.58,9.6,10.37,6.13,50.76,22.6,3.25,0.0,0.64,0.31,16.23,50.76,70.82,83.71
15.33,8.99,13.51,13.45,5.12,46.37,24.62,7.61,8.09,15.81,1.24,11.42,0.81,15.89,46.37,61.93,81.26
14.66,14.41,5.02,14.02,15.11,16.48,0.37,7.69,7.1,7.46,1.04,0.06,1.13,10.23,16.48,36.19,86.73
28.27,34.89,52.72,11.48,15.74,29.69,6.01,52.66,31.39,28.74,8.87,1.78,4.52,29.16,52.72,103.33,71.12
